Venue,Date,Time,Party Size,Status,Source,Guest Name,Visit Count,Lifetime Spend,Tags,Wait Time (min),No Show
"The Laundry Room",2025-10-01,18:00,2,Completed,Concierge,"Stephanie Hall",8,2591,"Regular; VIP",0,No
"The Laundry Room",2025-10-01,19:00,3,Completed,SevenRooms,"Carlos Hill",5,2749,"VIP",0,No
"The Laundry Room",2025-10-01,20:00,2,Completed,Walk-in,"Nicole Phillips",4,1848,"",0,No
"The Laundry Room",2025-10-01,17:30,3,Completed,Walk-in,"Maria Walker",3,1802,"",0,No
"The Laundry Room",2025-10-01,21:30,2,Completed,Walk-in,"Chase Rodriguez",3,847,"Birthday",0,No
"The Laundry Room",2025-10-01,20:00,3,Completed,Concierge,"Tyler Rodriguez",3,2072,"VIP",0,No
"Commonwealth",2025-10-01,21:00,5,Completed,SevenRooms,"Ashley Roberts",3,1351,"",0,No
"Commonwealth",2025-10-01,19:00,2,Cancelled,Google,"Derek Lee",3,451,"",0,No
"Commonwealth",2025-10-01,21:00,4,Completed,Concierge,"Vanessa Roberts",3,1084,"",0,No
"Commonwealth",2025-10-01,17:30,4,Completed,Concierge,"Rachel Carter",1,327,"First Timer",0,No
"Commonwealth",2025-10-01,22:00,5,Completed,Concierge,"Derek Allen",4,1365,"",0,No
"Commonwealth",2025-10-01,21:30,2,Cancelled,Concierge,"Brandon Nelson",10,2259,"Regular; VIP; Corporate",0,No
"Commonwealth",2025-10-01,22:00,5,Cancelled,Google,"Jordan Anderson",2,921,"VIP",0,No
"Commonwealth",2025-10-01,22:30,4,Completed,Concierge,"Austin Carter",10,4685,"Regular; VIP",0,No
"Park On Fremont",2025-10-01,17:00,3,Completed,SevenRooms,"Austin Scott",12,2935,"Regular; VIP",0,No
"Park On Fremont",2025-10-01,22:00,3,Completed,Walk-in,"Alexis Wright",1,325,"First Timer",15,No
"Park On Fremont",2025-10-01,18:00,5,Cancelled,Instagram,"Brittany Carter",2,1121,"",0,No
"Park On Fremont",2025-10-01,21:00,3,Cancelled,Google,"Samantha Allen",12,3451,"Regular; VIP; VIP",0,No
"Park On Fremont",2025-10-01,21:30,4,Completed,SevenRooms,"Lauren Smith",2,671,"",0,No
"Park On Fremont",2025-10-01,22:00,4,Completed,SevenRooms,"Ashley Roberts",1,281,"First Timer",0,No
"Park On Fremont",2025-10-01,18:30,2,No Show,Walk-in,"Amanda Robinson",3,572,"",15,Yes
"Park On Fremont",2025-10-01,23:00,2,Completed,Instagram,"Lauren Mitchell",1,220,"First Timer",0,No
"Park On Fremont",2025-10-01,22:30,4,Completed,Instagram,"Robert Brown",3,1470,"",0,No
"Park On Fremont",2025-10-01,23:00,3,Completed,Concierge,"James King",2,643,"",0,No
"Park On Fremont",2025-10-01,23:00,3,Completed,Instagram,"Ryan Roberts",3,614,"",0,No
"Park On Fremont",2025-10-01,21:00,3,Completed,Instagram,"Michael Johnson",2,657,"",0,No
"Park On Fremont",2025-10-01,17:00,2,Completed,Walk-in,"Samantha Turner",3,466,"",13,No
"Park On Fremont",2025-10-01,22:30,4,No Show,Phone,"Jake Allen",2,755,"",0,Yes
"Park On Fremont",2025-10-01,20:00,4,Completed,Phone,"David Hill",7,2397,"Regular; VIP",0,No
"Park On Fremont",2025-10-01,19:30,3,Completed,Concierge,"Chase Martinez",2,715,"",0,No
"Park On Fremont",2025-10-01,21:30,5,Completed,SevenRooms,"Lauren Robinson",2,742,"",0,No
"La Mona Rosa",2025-10-01,18:00,5,Completed,Walk-in,"Robert King",3,1780,"",15,No
"La Mona Rosa",2025-10-01,22:30,5,No Show,SevenRooms,"Stephanie Roberts",3,1174,"",0,Yes
"La Mona Rosa",2025-10-01,18:00,4,Completed,Instagram,"Nicole Allen",6,2253,"Regular; VIP",0,No
"La Mona Rosa",2025-10-01,17:30,3,No Show,Google,"Robert Lee",1,294,"First Timer",0,Yes
"La Mona Rosa",2025-10-01,17:30,5,Completed,Walk-in,"Stephanie Nelson",12,5174,"Regular; VIP",23,No
"La Mona Rosa",2025-10-01,20:00,4,Completed,Google,"Stephanie Scott",3,934,"Regular",0,No
"La Mona Rosa",2025-10-01,22:00,2,Completed,SevenRooms,"Ryan Nelson",3,470,"VIP",0,No
"La Mona Rosa",2025-10-01,17:00,5,Completed,Concierge,"Sarah Turner",2,890,"",0,No
